"Language","Idioma"
"Login","Ingresar"
"Modules","Módulos"
"Password","Contraseña"
"Products","Productos"
"Search","Buscar"
"User","Usuario"
"January","Enero"
"February","Febrero"
"March","Marzo"
"April","Abril"
"May","Mayo"
"June","Junio"
"July","Julio"
"August","Agosto"
"September","Septiembre"
"October","Octubre"
"November","Noviembre"
"December","Diciembre"
"Monday","Lunes"
"Tuesday","Martes"
"Wednesday","Miércoles"
"Thursday","Jueves"
"Friday","Viernes"
"Saturday","Sábado"
"Sunday","Domingo"
